CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Govt Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Govt Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
66,Guinea,Guinea,Sub-Saharan Africa,123,20,56.5,32.2,33.4,22.0,69.7,92.5,95.3,47.1,58.6,70.5,66.4,50,40,9.3,40.0,35.0,14.3,15.8,Guinea,12.8,$33.40,5.6,7.4,"$2,670.00",4.3,9.5,44.8,34.5
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,139,29,54.9,39.5,50.8,20.2,88.7,88.7,69.6,37.9,61.0,86.7,55.8,30,30,12.1,20.0,25.0,10.3,19.4,Guinea-Bissau,1.9,$3.70,4.6,4.9,"$2,072.00",2.5,0.2,30.6,65.0
68,Guyana,Guyana,Americas,116,22,57.4,44.9,40.4,38.5,64.6,77.3,69.8,58.2,62.1,81.3,66.8,55,30,6.6,33.3,40.0,28.8,27.5,Guyana,0.8,$7.10,4.7,3.5,"$10,105.00",11.9,2.1,"1,713.3",32.7
69,Haiti,Haiti,Americas,155,28,50.8,12.6,15.1,22.0,80.2,91.3,92.9,33.0,62.1,59.7,65.4,45,30,7.3,30.0,30.0,13.3,17.0,Haiti,11.3,$20.80,-1.2,0.8,"$1,801.00",13.8,17.3,75.0,47.7
70,Honduras,Honduras,Americas,98,19,59.8,45.5,36.0,29.1,82.2,79.3,96.7,48.7,32.0,71.8,71.8,65,60,6.6,25.0,25.0,23.1,26.3,Honduras,9.7,$51.40,2.7,3.8,"$5,965.00",5.4,4.4,498.1,40.6
72,Hungary,Hungary,Europe,55,31,67.2,65.6,52.4,48.7,83.6,35.0,83.3,59.9,64.8,78.8,84.0,80,70,3.0,15.0,9.0,36.6,46.6,Hungary,9.8,$335.80,4.9,4.1,"$33,979.00",3.4,3.4,"5,204.5",66.3
73,Iceland,Iceland,Europe,11,6,77.4,87.0,72.6,90.6,72.4,46.2,97.6,83.6,62.0,79.4,86.8,80,70,1.6,31.8,20.0,36.7,42.4,Iceland,0.4,$20.00,1.9,4.3,"$60,061.00",2.8,3.0,-240.9,34.5
74,India,India,Asia-Pacific,121,26,56.5,59.2,55.9,48.1,78.7,78.5,18.0,76.7,41.3,72.1,69.4,40,40,10.3,30.9,32.4,11.2,26.7,India,1366.4,"$11,043.20",4.2,6.7,"$7,034.00",5.4,4.5,"50,553.0",71.9
75,Indonesia,Indonesia,Asia-Pacific,56,10,66.9,59.4,48.9,39.1,83.7,91.8,90.7,71.3,49.2,79.0,79.2,50,60,5.4,30.0,25.0,10.2,16.5,Indonesia,270.6,"$3,735.60",5.0,5.0,"$12,302.00",4.7,2.8,"23,429.0",30.4
76,Iran,Iran,Middle East and North Africa,168,14,47.2,33.5,28.3,31.8,80.8,90.1,82.8,57.1,50.1,42.1,54.2,5,10,15.4,35.0,25.0,8.4,18.1,Iran,82.9,"$1,491.50",-7.6,0.3,"$12,912.00",11.4,41.1,"1,508.0",29.7
77,Iraq,Iraq,Middle East and North Africa,N/A,N/A,N/A,44.8,11.0,22.0,N/A,65.3,94.7,51.7,45.6,77.0,N/A,N/A,N/A,N/A,15.0,15.0,2.0,34.0,Iraq,39.3,$708.30,3.9,3.7,"$11,332.00",12.8,-0.2,"-3,075.6",51.4
78,Ireland,Ireland,Europe,5,2,81.4,86.0,72.4,82.0,76.6,81.1,93.1,81.5,76.1,84.4,84.0,90,70,3.0,41.0,12.5,22.3,25.1,Ireland,4.9,$417.90,5.5,10.2,"$88,241.00",4.9,0.9,"78,234.1",58.6
79,Israel,Israel,Middle East and North Africa,26,2,73.8,83.6,79.8,76.8,60.0,53.8,79.2,73.9,65.1,84.4,84.2,75,70,2.9,50.0,23.0,31.1,39.2,Israel,9.1,$354.90,3.5,3.4,"$42,194.00",3.9,0.8,"18,224.2",61.4
80,Italy,Italy,Europe,68,36,64.9,75.7,62.3,63.7,58.1,28.9,73.0,68.1,50.5,84.2,84.0,80,50,3.0,43.0,24.0,42.1,48.7,Italy,60.3,"$2,454.80",0.3,1.0,"$44,197.00",9.9,0.6,"26,569.5",134.8
81,Jamaica,Jamaica,Americas,45,5,69.0,60.6,55.1,47.7,79.7,74.4,83.1,77.6,73.4,77.5,69.2,80,50,10.4,25.0,25.0,27.9,29.2,Jamaica,2.9,$27.90,1.0,1.2,"$10,166.00",8.0,3.9,665.4,91.9
82,Japan,Japan,Asia-Pacific,23,6,74.1,87.8,75.5,82.0,67.8,57.8,67.5,85.9,79.0,85.1,80.4,60,60,2.3,40.8,23.9,31.4,37.5,Japan,126.3,"$5,711.90",0.7,1.0,"$43,236.00",2.3,0.5,"14,552.4",237.4
83,Jordan,Jordan,Middle East and North Africa,69,6,64.6,66.2,60.3,51.0,84.7,73.3,45.5,58.9,52.8,82.0,71.0,70,60,9.5,30.0,20.0,15.1,29.8,Jordan,10.1,$96.30,2.0,2.1,"$10,317.00",14.7,0.3,915.8,93.2
84,Kazakhstan,Kazakhstan,Asia-Pacific,34,8,71.1,60.2,62.8,44.6,93.6,86.7,98.3,76.2,86.2,70.0,74.6,50,50,5.2,10.0,20.0,11.7,21.1,Kazakhstan,18.5,$541.00,4.5,3.0,"$27,444.00",4.6,5.2,"3,118.1",20.2
85,Kenya,Kenya,Sub-Saharan Africa,138,28,54.9,60.4,41.5,29.5,78.7,80.2,12.6,56.7,57.1,75.4,62.2,55,50,11.4,30.0,30.0,18.2,25.7,Kenya,52.6,$191.20,5.6,5.7,"$4,509.00",2.6,5.2,"1,332.4",60.8
86,Kiribati,Kiribati,Asia-Pacific,171,39,44.4,44.8,33.1,27.9,70.7,0.0,98.9,32.0,63.9,82.5,23.8,25,30,28.1,35.0,35.0,22.0,119.3,Kiribati,0.1,$0.30,2.3,4.2,"$2,369.00",N/A,-1.9,0.5,23.0
87,"Korea, North ",NorthKorea,Asia-Pacific,178,40,5.2,27.7,5.0,20.2,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0,0,N/A,N/A,N/A,N/A,N/A,"Korea, North ",25.7,$40.00,2.3,-0.5,"$1,700.00",25.6,N/A,25.8,N/A
88,"Korea, South",SouthKorea,Asia-Pacific,24,7,74.0,80.7,63.4,68.9,63.0,86.9,96.7,89.5,55.8,84.4,79.0,60,60,8.0,42.0,25.0,28.4,20.9,"Korea, South",51.7,"$2,320.50",2.0,2.7,"$43,029.00",4.2,0.4,"10,565.6",40.7
185,Kosovo,Kosovo,Europe,58,32,66.5,54.5,55.9,46.4,92.6,75.0,90.5,71.2,64.4,75.7,77.2,65,30,3.9,10.0,10.0,23.3,28.9,Kosovo,1.8,$22.10,4.0,4.0,"$11,839.00",25.9,2.7,304.225998567079,17.5
